pollster,methodology,state,sample_size,pct,answer,end_date,end_date_num
Siena/NYT,Online Panel,New York,145,51.54007111823946,Trump,2024-09-11,0.5252525252525253
Siena/NYT,Probability Panel,Nevada,675,48.510275684702464,Harris,2024-10-12,0.8383838383838383
SurveyUSA,Online Panel,New York,176,49.77712876222855,Trump,2024-10-03,0.7474747474747475
SurveyUSA,Live Phone/Text to Web,Nevada,2180,49.05324972692917,Trump,2024-10-01,0.7272727272727273
SurveyUSA,Online Panel,New York,191,49.02615069981582,Harris,2024-10-17,0.8888888888888888
Emerson College,Live Phone/Text to Web,Florida,124,50.27401219926387,Harris,2024-08-03,0.13131313131313133
Emerson College,Live Phone/Text to Web,Georgia,94,48.994471190611044,Harris,2024-10-01,0.7272727272727273
Siena/NYT,Probability Panel,California,904,52.22147958567407,Trump,2024-10-04,0.7575757575757576
Emerson College,Live Phone,Florida,227,49.68056994083207,Harris,2024-09-13,0.5454545454545454
Siena/NYT,Online Panel,California,113,49.45166737931731,Harris,2024-09-09,0.5050505050505051
YouGov,Live Phone,Georgia,276,50.143453195280784,Trump,2024-08-07,0.1717171717171717
Siena/NYT,Live Phone/Text to Web,Nevada,127,52.06719096929414,Harris,2024-08-29,0.3939393939393939
YouGov,Probability Panel,Florida,124,48.931546260567586,Harris,2024-08-03,0.13131313131313133
Emerson College,Live Phone,Georgia,94,47.954853814401616,Trump,2024-09-17,0.5858585858585859
Emerson College,Online Panel,Florida,655,50.000229887101845,Trump,2024-07-21,0
YouGov,Live Phone,New York,176,50.4952901732213,Harris,2024-09-15,0.5656565656565656
Siena/NYT,Live Phone/Text to Web,Georgia,372,54.17478828220693,Harris,2024-09-23,0.6464646464646465
Siena/NYT,Live Phone/Text to Web,Florida,161,51.84526513300837,Trump,2024-08-16,0.26262626262626265
YouGov,Live Phone,New York,563,50.506964938635036,Trump,2024-10-07,0.7878787878787878
YouGov,Probability Panel,New York,904,49.553238715775116,Trump,2024-10-22,0.9393939393939394
YouGov,Probability Panel,Nevada,1133,50.13323253167044,Harris,2024-08-25,0.35353535353535354
YouGov,Online Panel,Florida,439,47.88297985617992,Harris,2024-08-16,0.26262626262626265
SurveyUSA,Live Phone,California,127,48.52565949922649,Trump,2024-09-03,0.4444444444444444
SurveyUSA,Live Phone,Nevada,107,50.99203072971777,Trump,2024-10-17,0.8888888888888888
SurveyUSA,Live Phone/Text to Web,Nevada,127,49.80538124614484,Harris,2024-10-05,0.7676767676767676
Emerson College,Live Phone,Nevada,276,49.72129105143351,Trump,2024-10-08,0.797979797979798
Siena/NYT,Live Phone/Text to Web,California,563,51.0841145500499,Harris,2024-08-07,0.1717171717171717
Emerson College,Live Phone/Text to Web,Florida,124,52.1932561891232,Harris,2024-10-20,0.9191919191919192
Siena/NYT,Live Phone,Georgia,227,48.333923708381406,Trump,2024-08-23,0.3333333333333333
SurveyUSA,Online Panel,California,124,48.205979562946155,Trump,2024-08-16,0.26262626262626265
YouGov,Live Phone/Text to Web,Nevada,827,48.51114768300451,Harris,2024-08-12,0.2222222222222222
SurveyUSA,Probability Panel,California,74,54.90003775144363,Trump,2024-08-06,0.16161616161616163
Emerson College,Live Phone,Nevada,915,51.26531161993337,Harris,2024-07-21,0
Siena/NYT,Live Phone/Text to Web,Nevada,191,46.21712794868129,Trump,2024-08-19,0.29292929292929293
YouGov,Online Panel,California,2180,51.27682319768023,Trump,2024-10-22,0.9393939393939394
SurveyUSA,Probability Panel,Georgia,74,45.928035084246496,Harris,2024-09-22,0.6363636363636364
YouGov,Live Phone/Text to Web,Florida,1133,50.398465646546185,Trump,2024-09-27,0.6868686868686869
SurveyUSA,Live Phone,New York,675,50.447935133341126,Harris,2024-07-30,0.09090909090909091
Emerson College,Live Phone,Georgia,827,53.76275557626218,Harris,2024-09-07,0.48484848484848486
Siena/NYT,Live Phone/Text to Web,Nevada,1655,51.62150600908276,Harris,2024-09-16,0.5757575757575758
Siena/NYT,Live Phone,California,439,49.52018478866796,Trump,2024-09-10,0.5151515151515151
Emerson College,Probability Panel,Georgia,1943,54.64948778839518,Harris,2024-09-20,0.6161616161616161
YouGov,Online Panel,Nevada,915,54.69319015752962,Trump,2024-07-25,0.04040404040404041
SurveyUSA,Live Phone/Text to Web,California,142,50.150006964994205,Harris,2024-08-30,0.40404040404040403
SurveyUSA,Probability Panel,Georgia,452,49.81968028031563,Trump,2024-08-15,0.25252525252525254
Siena/NYT,Live Phone/Text to Web,Nevada,268,52.50931025106172,Trump,2024-08-04,0.1414141414141414
YouGov,Online Panel,California,101,51.796908695109806,Harris,2024-08-16,0.26262626262626265
Siena/NYT,Online Panel,California,74,50.11148207968966,Harris,2024-08-20,0.30303030303030304
YouGov,Probability Panel,Nevada,571,48.49868511241683,Trump,2024-10-12,0.8383838383838383
Emerson College,Probability Panel,Georgia,915,50.1672336692119,Trump,2024-08-21,0.31313131313131315
Siena/NYT,Live Phone/Text to Web,Georgia,372,54.252671152264675,Trump,2024-09-25,0.6666666666666666
YouGov,Live Phone/Text to Web,Georgia,439,53.263653944060216,Trump,2024-08-25,0.35353535353535354
YouGov,Probability Panel,Florida,894,49.139316550019764,Trump,2024-09-02,0.43434343434343436
SurveyUSA,Live Phone/Text to Web,Georgia,702,47.102019204602904,Trump,2024-10-23,0.9494949494949495
Emerson College,Live Phone/Text to Web,New York,142,47.35129546928136,Trump,2024-10-27,0.98989898989899
Siena/NYT,Live Phone/Text to Web,New York,1943,49.52341235997492,Trump,2024-08-29,0.3939393939393939
SurveyUSA,Probability Panel,New York,161,50.49662077463012,Trump,2024-08-11,0.21212121212121213
Emerson College,Live Phone/Text to Web,California,124,50.34765326831575,Harris,2024-09-07,0.48484848484848486
Emerson College,Probability Panel,Georgia,839,46.65444308784712,Harris,2024-08-18,0.2828282828282828
Siena/NYT,Probability Panel,Nevada,124,47.15726226160798,Trump,2024-08-19,0.29292929292929293
SurveyUSA,Probability Panel,New York,827,46.63349785613851,Trump,2024-07-27,0.06060606060606061
Siena/NYT,Probability Panel,New York,675,48.79167203429785,Harris,2024-10-13,0.8484848484848485
YouGov,Online Panel,New York,145,50.81870585818714,Trump,2024-09-05,0.46464646464646464
YouGov,Live Phone/Text to Web,Florida,702,50.67393910183095,Trump,2024-10-12,0.8383838383838383
Siena/NYT,Probability Panel,New York,675,49.98943230161354,Harris,2024-08-02,0.12121212121212122
YouGov,Live Phone/Text to Web,Georgia,904,51.14656146171096,Harris,2024-08-17,0.2727272727272727
YouGov,Live Phone,New York,113,45.19425827261809,Harris,2024-09-06,0.47474747474747475
YouGov,Online Panel,California,666,48.399030998883426,Harris,2024-09-17,0.5858585858585859
Siena/NYT,Live Phone,Nevada,28,51.1586031192453,Harris,2024-08-01,0.1111111111111111
SurveyUSA,Live Phone,New York,177,53.8423434101234,Harris,2024-08-10,0.20202020202020202
SurveyUSA,Live Phone,Florida,142,49.3958046177661,Trump,2024-08-22,0.32323232323232326
Siena/NYT,Online Panel,Georgia,94,50.609081005802025,Trump,2024-10-15,0.8686868686868687
Emerson College,Live Phone,Nevada,915,52.02940036888025,Trump,2024-07-29,0.08080808080808081
SurveyUSA,Live Phone,New York,227,51.21179098277651,Trump,2024-09-06,0.47474747474747475
Siena/NYT,Live Phone,New York,155,47.888237993250556,Trump,2024-08-19,0.29292929292929293
SurveyUSA,Live Phone,California,276,50.676247327531215,Harris,2024-08-16,0.26262626262626265
SurveyUSA,Online Panel,New York,563,50.46532938088288,Harris,2024-10-09,0.8080808080808081
Siena/NYT,Probability Panel,New York,571,53.38187963294168,Harris,2024-09-19,0.6060606060606061
Siena/NYT,Live Phone/Text to Web,Florida,177,50.05291649476095,Harris,2024-08-01,0.1111111111111111
SurveyUSA,Live Phone,New York,145,45.76030221954754,Harris,2024-09-24,0.6565656565656566
Emerson College,Live Phone/Text to Web,New York,148,49.64701776305253,Harris,2024-09-30,0.7171717171717171
YouGov,Online Panel,California,107,47.65322288140354,Harris,2024-08-01,0.1111111111111111
YouGov,Live Phone/Text to Web,New York,51,52.08280851921994,Harris,2024-10-02,0.7373737373737373
Siena/NYT,Live Phone,California,915,46.51127252219434,Harris,2024-10-15,0.8686868686868687
SurveyUSA,Probability Panel,New York,675,50.301694300893274,Harris,2024-08-21,0.31313131313131315
SurveyUSA,Live Phone/Text to Web,Florida,28,48.15809833658573,Trump,2024-09-27,0.6868686868686869
YouGov,Live Phone,New York,571,49.70260468073445,Harris,2024-09-16,0.5757575757575758
Siena/NYT,Live Phone,Nevada,28,51.62385828968141,Harris,2024-10-19,0.9090909090909091
Siena/NYT,Live Phone,New York,47,48.634469713477614,Trump,2024-08-21,0.31313131313131315
SurveyUSA,Probability Panel,New York,666,47.25501756590931,Harris,2024-09-09,0.5050505050505051
SurveyUSA,Probability Panel,California,915,47.305335746341065,Harris,2024-10-05,0.7676767676767676
SurveyUSA,Live Phone,Florida,452,50.757732772037755,Trump,2024-08-16,0.26262626262626265
SurveyUSA,Online Panel,Nevada,161,49.579204800501614,Trump,2024-10-05,0.7676767676767676
Siena/NYT,Live Phone/Text to Web,Florida,127,50.85567850593676,Harris,2024-09-10,0.5151515151515151
Emerson College,Online Panel,California,839,49.29983909179562,Harris,2024-08-17,0.2727272727272727
YouGov,Probability Panel,California,268,50.89246333031357,Harris,2024-07-29,0.08080808080808081
Siena/NYT,Online Panel,New York,655,48.493644808584236,Harris,2024-08-16,0.26262626262626265
YouGov,Live Phone,California,101,49.65067071710183,Trump,2024-08-20,0.30303030303030304
SurveyUSA,Live Phone,New York,894,50.763254225430074,Trump,2024-09-21,0.6262626262626263
Emerson College,Live Phone,Georgia,155,50.442940544135,Harris,2024-08-18,0.2828282828282828
YouGov,Live Phone/Text to Web,Nevada,176,49.52720235582039,Harris,2024-07-22,0.010101010101010102
YouGov,Probability Panel,Florida,399,51.064068991767044,Harris,2024-09-18,0.5959595959595959
Siena/NYT,Probability Panel,New York,113,47.21136940968492,Trump,2024-08-14,0.24242424242424243
SurveyUSA,Live Phone,Nevada,399,51.053695698563054,Harris,2024-07-31,0.10101010101010101
SurveyUSA,Live Phone/Text to Web,Florida,372,51.10678001361675,Harris,2024-07-25,0.04040404040404041
Siena/NYT,Online Panel,Nevada,894,46.442836501321686,Trump,2024-09-01,0.42424242424242425
Siena/NYT,Probability Panel,Nevada,666,50.3528374569753,Harris,2024-08-18,0.2828282828282828
Emerson College,Live Phone/Text to Web,Florida,439,53.62383309747315,Trump,2024-10-08,0.797979797979798
YouGov,Live Phone,California,113,52.6951193749092,Harris,2024-08-11,0.21212121212121213
Emerson College,Live Phone,Florida,124,46.17161982004048,Trump,2024-09-22,0.6363636363636364
SurveyUSA,Live Phone,New York,827,52.559796111565475,Trump,2024-09-14,0.5555555555555556
Siena/NYT,Probability Panel,Georgia,47,51.49202366068176,Trump,2024-08-12,0.2222222222222222
YouGov,Live Phone/Text to Web,New York,452,52.47301646081532,Trump,2024-09-14,0.5555555555555556
Emerson College,Online Panel,Nevada,1943,48.22271278272001,Harris,2024-10-11,0.8282828282828283
Emerson College,Probability Panel,Nevada,177,48.21261605095039,Trump,2024-07-24,0.030303030303030304
SurveyUSA,Live Phone,Nevada,107,49.115892690770046,Trump,2024-09-21,0.6262626262626263
Siena/NYT,Probability Panel,New York,145,51.206016524238,Harris,2024-07-23,0.020202020202020204
SurveyUSA,Live Phone/Text to Web,California,399,54.03247738711445,Trump,2024-09-27,0.6868686868686869
YouGov,Probability Panel,Florida,124,48.44773036204303,Trump,2024-09-24,0.6565656565656566
Siena/NYT,Live Phone,California,161,49.93799357968017,Harris,2024-10-27,0.98989898989899
SurveyUSA,Live Phone/Text to Web,Georgia,51,49.10567328092339,Trump,2024-10-07,0.7878787878787878
Siena/NYT,Live Phone/Text to Web,California,563,46.317697568946976,Trump,2024-07-31,0.10101010101010101
SurveyUSA,Online Panel,Florida,702,47.66668268195336,Trump,2024-10-10,0.8181818181818182
SurveyUSA,Live Phone,Georgia,176,51.989706054181475,Trump,2024-08-13,0.23232323232323232
Emerson College,Live Phone,Georgia,1943,53.86947715304036,Harris,2024-10-18,0.898989898989899
YouGov,Live Phone/Text to Web,California,191,50.86306195956942,Trump,2024-09-13,0.5454545454545454
Emerson College,Probability Panel,New York,107,51.24435975270212,Trump,2024-10-14,0.8585858585858586
Emerson College,Probability Panel,California,191,49.021673338434724,Trump,2024-08-25,0.35353535353535354
SurveyUSA,Live Phone,Nevada,655,50.340121496908786,Harris,2024-08-15,0.25252525252525254
Siena/NYT,Probability Panel,Florida,439,49.99562440239914,Trump,2024-08-28,0.3838383838383838
SurveyUSA,Online Panel,Georgia,827,49.53543499969293,Trump,2024-08-23,0.3333333333333333
SurveyUSA,Live Phone/Text to Web,Georgia,894,44.737135063199844,Trump,2024-08-15,0.25252525252525254
Siena/NYT,Online Panel,Florida,481,51.58851885082712,Trump,2024-10-08,0.797979797979798
Emerson College,Live Phone/Text to Web,Nevada,47,50.186106740792205,Harris,2024-09-13,0.5454545454545454
Siena/NYT,Live Phone/Text to Web,Nevada,176,50.14184011477315,Harris,2024-08-30,0.40404040404040403
Siena/NYT,Online Panel,New York,2459,49.53274354531397,Trump,2024-07-23,0.020202020202020204
YouGov,Live Phone,Nevada,148,47.407345791671816,Trump,2024-08-22,0.32323232323232326
Siena/NYT,Online Panel,Georgia,142,51.83572328441318,Harris,2024-10-20,0.9191919191919192
YouGov,Online Panel,California,655,50.88771126362187,Trump,2024-10-03,0.7474747474747475
Emerson College,Live Phone,Georgia,666,49.61837229451382,Harris,2024-09-23,0.6464646464646465
Siena/NYT,Live Phone,Georgia,655,49.72721053129122,Trump,2024-08-02,0.12121212121212122
YouGov,Probability Panel,New York,481,48.66704770809933,Harris,2024-08-01,0.1111111111111111
SurveyUSA,Online Panel,Florida,904,47.42809739740186,Trump,2024-07-24,0.030303030303030304
Emerson College,Live Phone/Text to Web,Florida,176,49.530422164924225,Harris,2024-10-14,0.8585858585858586
YouGov,Probability Panel,Florida,142,51.04163903216613,Trump,2024-10-07,0.7878787878787878
YouGov,Live Phone/Text to Web,California,142,50.20917929901384,Trump,2024-08-17,0.2727272727272727
SurveyUSA,Probability Panel,New York,127,50.61263008515142,Trump,2024-10-03,0.7474747474747475
SurveyUSA,Probability Panel,Florida,101,51.845236102970915,Harris,2024-08-27,0.37373737373737376
YouGov,Online Panel,New York,227,50.737292145562584,Trump,2024-10-25,0.9696969696969697
Emerson College,Online Panel,California,276,50.11072640008327,Harris,2024-07-21,0
SurveyUSA,Live Phone/Text to Web,California,155,53.33444805178679,Trump,2024-10-22,0.9393939393939394
YouGov,Probability Panel,Florida,74,47.786652717589625,Trump,2024-10-07,0.7878787878787878
YouGov,Online Panel,New York,127,51.54599107550755,Harris,2024-07-23,0.020202020202020204
YouGov,Online Panel,Georgia,113,49.325714406314454,Harris,2024-08-27,0.37373737373737376
Siena/NYT,Probability Panel,Florida,124,53.341474584562945,Trump,2024-08-08,0.18181818181818182
Siena/NYT,Live Phone,New York,784,52.8534591939971,Harris,2024-08-31,0.41414141414141414
YouGov,Probability Panel,Florida,1133,47.590096489482,Trump,2024-10-08,0.797979797979798
YouGov,Live Phone,Nevada,1133,47.04609913127534,Harris,2024-10-17,0.8888888888888888
YouGov,Online Panel,Nevada,439,42.18483021091834,Harris,2024-08-18,0.2828282828282828
SurveyUSA,Live Phone/Text to Web,Florida,191,49.869567108721604,Harris,2024-10-25,0.9696969696969697
YouGov,Live Phone,New York,439,50.4736175734456,Harris,2024-10-24,0.9595959595959596
Siena/NYT,Probability Panel,Florida,113,50.463398156268305,Trump,2024-10-22,0.9393939393939394
YouGov,Live Phone,Florida,827,49.550196655714146,Harris,2024-09-13,0.5454545454545454
Emerson College,Live Phone,California,702,51.485850510321846,Trump,2024-10-11,0.8282828282828283
YouGov,Online Panel,Nevada,1655,50.904126953943674,Trump,2024-10-27,0.98989898989899
SurveyUSA,Online Panel,New York,212,50.213671148609606,Trump,2024-09-18,0.5959595959595959
SurveyUSA,Live Phone/Text to Web,Florida,124,48.67789945038996,Harris,2024-10-11,0.8282828282828283
YouGov,Live Phone,Georgia,47,47.96287582432501,Trump,2024-07-26,0.050505050505050504
Emerson College,Live Phone,Georgia,1655,49.63809868100928,Harris,2024-09-04,0.45454545454545453
Siena/NYT,Live Phone/Text to Web,Florida,702,49.094164883453466,Harris,2024-09-29,0.7070707070707071
Emerson College,Live Phone,California,2459,49.937226125475014,Harris,2024-09-19,0.6060606060606061
Siena/NYT,Online Panel,Nevada,127,54.52433854301047,Trump,2024-10-03,0.7474747474747475
SurveyUSA,Probability Panel,Georgia,145,49.94678874657967,Trump,2024-09-13,0.5454545454545454
YouGov,Live Phone,Florida,894,46.56372833249589,Trump,2024-10-03,0.7474747474747475
Emerson College,Probability Panel,Nevada,177,51.56572337572105,Trump,2024-07-27,0.06060606060606061
Siena/NYT,Online Panel,Georgia,1133,46.637584960861226,Harris,2024-09-17,0.5858585858585859
Siena/NYT,Live Phone/Text to Web,Florida,1655,53.35855360053862,Trump,2024-07-30,0.09090909090909091
Emerson College,Live Phone,New York,268,49.084447061094636,Harris,2024-08-02,0.12121212121212122
Emerson College,Live Phone/Text to Web,Georgia,894,48.335328514464365,Harris,2024-08-31,0.41414141414141414
Siena/NYT,Live Phone,New York,28,48.6530692415316,Trump,2024-09-01,0.42424242424242425
YouGov,Online Panel,New York,161,45.84021011822956,Trump,2024-10-15,0.8686868686868687
SurveyUSA,Online Panel,Nevada,161,51.004057292267575,Trump,2024-08-28,0.3838383838383838
YouGov,Probability Panel,New York,148,50.47798224224453,Trump,2024-09-03,0.4444444444444444
YouGov,Live Phone,California,439,54.57157489399781,Trump,2024-08-22,0.32323232323232326
SurveyUSA,Live Phone/Text to Web,New York,47,50.50000514420148,Trump,2024-09-29,0.7070707070707071
SurveyUSA,Online Panel,New York,212,47.7875768405074,Harris,2024-08-24,0.3434343434343434
Emerson College,Probability Panel,New York,148,52.1096611458666,Harris,2024-08-15,0.25252525252525254
Siena/NYT,Online Panel,Florida,563,49.017239498750364,Harris,2024-09-06,0.47474747474747475
SurveyUSA,Live Phone,Georgia,481,50.10065173492326,Trump,2024-09-04,0.45454545454545453
Siena/NYT,Online Panel,Nevada,675,52.29201164722572,Trump,2024-08-06,0.16161616161616163
Siena/NYT,Live Phone/Text to Web,New York,784,51.49672606664947,Trump,2024-09-15,0.5656565656565656
Emerson College,Live Phone,California,74,44.823148106196875,Harris,2024-09-04,0.45454545454545453
YouGov,Online Panel,California,74,50.75359481628133,Harris,2024-07-21,0
SurveyUSA,Online Panel,Florida,47,47.998470735884545,Trump,2024-07-22,0.010101010101010102
YouGov,Live Phone/Text to Web,New York,101,51.87201508253318,Harris,2024-08-13,0.23232323232323232
YouGov,Online Panel,California,563,48.9880694689473,Trump,2024-09-11,0.5252525252525253
Siena/NYT,Probability Panel,Georgia,2459,51.43114910451098,Harris,2024-08-04,0.1414141414141414
SurveyUSA,Online Panel,Georgia,268,52.09075245825658,Harris,2024-07-21,0
Emerson College,Probability Panel,Nevada,1655,48.34794650228711,Harris,2024-09-10,0.5151515151515151
Siena/NYT,Live Phone/Text to Web,Nevada,113,48.711980038284686,Harris,2024-08-26,0.36363636363636365
Emerson College,Live Phone/Text to Web,Georgia,904,48.34234457684279,Harris,2024-10-04,0.7575757575757576
SurveyUSA,Live Phone/Text to Web,New York,142,53.66390986717182,Harris,2024-09-09,0.5050505050505051
SurveyUSA,Online Panel,Nevada,191,48.28539228776984,Trump,2024-09-25,0.6666666666666666
Emerson College,Probability Panel,Georgia,827,47.20798111127773,Harris,2024-10-02,0.7373737373737373
YouGov,Live Phone/Text to Web,Nevada,1133,50.66926514738798,Trump,2024-09-26,0.6767676767676768
Emerson College,Probability Panel,Georgia,372,50.80508227246787,Harris,2024-08-08,0.18181818181818182
Emerson College,Live Phone,New York,571,51.08497772100336,Harris,2024-07-23,0.020202020202020204
Emerson College,Live Phone/Text to Web,Florida,675,51.714042679724976,Harris,2024-08-07,0.1717171717171717
YouGov,Online Panel,Georgia,191,46.90078671212817,Trump,2024-09-01,0.42424242424242425
Emerson College,Online Panel,Florida,124,47.92925601479229,Trump,2024-09-16,0.5757575757575758
Emerson College,Live Phone,New York,2180,47.03903243860333,Trump,2024-10-27,0.98989898989899
SurveyUSA,Live Phone/Text to Web,Florida,145,49.0448976415815,Harris,2024-09-20,0.6161616161616161
YouGov,Online Panel,Nevada,839,50.46407978600919,Harris,2024-09-12,0.5353535353535354
Emerson College,Online Panel,Nevada,571,46.80589147382826,Harris,2024-10-09,0.8080808080808081
Siena/NYT,Live Phone/Text to Web,California,124,48.91045144329702,Trump,2024-10-02,0.7373737373737373
Emerson College,Probability Panel,California,894,49.10771229105876,Harris,2024-08-11,0.21212121212121213
YouGov,Probability Panel,New York,1943,53.041004565130905,Harris,2024-08-09,0.1919191919191919
Emerson College,Live Phone,Georgia,675,47.50123578428216,Trump,2024-10-20,0.9191919191919192
SurveyUSA,Probability Panel,Georgia,452,45.26288984962068,Harris,2024-09-14,0.5555555555555556
YouGov,Online Panel,Georgia,107,48.189971382698964,Trump,2024-09-12,0.5353535353535354
Emerson College,Live Phone/Text to Web,New York,372,52.97021012429983,Harris,2024-07-29,0.08080808080808081
YouGov,Probability Panel,California,915,49.17707646447805,Harris,2024-10-27,0.98989898989899
Siena/NYT,Online Panel,Georgia,481,53.24661259531834,Trump,2024-10-03,0.7474747474747475
Siena/NYT,Online Panel,Nevada,1133,47.9753038559394,Trump,2024-10-17,0.8888888888888888
YouGov,Live Phone,New York,894,50.66778929388653,Trump,2024-08-12,0.2222222222222222
YouGov,Live Phone/Text to Web,Florida,399,51.07513572756276,Trump,2024-09-12,0.5353535353535354
YouGov,Live Phone/Text to Web,California,2459,46.80276735566052,Trump,2024-07-26,0.050505050505050504
Siena/NYT,Live Phone,Nevada,51,51.94439427194322,Harris,2024-07-22,0.010101010101010102
Siena/NYT,Probability Panel,Nevada,124,48.864008460049014,Harris,2024-08-28,0.3838383838383838
