pollster_id,pollster,numeric_grade,methodology,state,start_date,end_date,sample_size,pct,party,answer
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,South Dakota,2024-10-19,10/22/24,825,36.5,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,South Dakota,2024-10-19,10/22/24,825,62,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Georgia,2024-10-17,10/22/24,1356,49,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Georgia,2024-10-17,10/22/24,1356,48,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Georgia,2024-10-17,10/22/24,1193,49,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Georgia,2024-10-17,10/22/24,1193,49,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,North Carolina,2024-10-17,10/22/24,1410,48,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,North Carolina,2024-10-17,10/22/24,1410,49,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,North Carolina,2024-10-17,10/22/24,1226,48,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,North Carolina,2024-10-17,10/22/24,1226,50,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Arizona,2024-10-17,10/22/24,1329,49,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Arizona,2024-10-17,10/22/24,1329,49,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Arizona,2024-10-17,10/22/24,1193,49,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Arizona,2024-10-17,10/22/24,1193,50,REP,Trump
1102,Emerson,2.9,Online Panel/Text-to-Web,Maryland,2024-10-19,10/21/24,865,64,DEM,Harris
1102,Emerson,2.9,Online Panel/Text-to-Web,Maryland,2024-10-19,10/21/24,865,34.4,REP,Trump
568,YouGov,3,Online Panel,,2024-10-18,10/21/24,1266,47,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-18,10/21/24,1266,45,REP,Trump
568,YouGov,3,Online Panel,,2024-10-18,10/21/24,1189,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-18,10/21/24,1189,45,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Texas,2024-10-18,10/21/24,815,45.9,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Texas,2024-10-18,10/21/24,815,53.1,REP,Trump
320,Monmouth,2.9,Live Phone/Text-to-Web,,2024-10-17,10/21/24,802,47,DEM,Harris
320,Monmouth,2.9,Live Phone/Text-to-Web,,2024-10-17,10/21/24,802,44,REP,Trump
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-17,10/21/24,1136,49,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-17,10/21/24,1136,46,REP,Trump
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-17,10/21/24,1136,50,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-17,10/21/24,1136,46,REP,Trump
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-17,10/21/24,1108,48,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-17,10/21/24,1108,48,REP,Trump
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-17,10/21/24,1108,48,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-17,10/21/24,1108,48,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3481,46,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3481,43,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3307,48,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3307,45,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,4129,41,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,4129,39,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,4129,41,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,4129,39,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3481,45,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3481,43,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3307,47,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-16,10/21/24,3307,45,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Florida,2024-10-18,10/20/24,860,45.9,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Florida,2024-10-18,10/20/24,860,53.6,REP,Trump
1050,SurveyUSA/High Point University,2.8,Online Panel,North Carolina,2024-10-17,10/20/24,1164,47,DEM,Harris
1050,SurveyUSA/High Point University,2.8,Online Panel,North Carolina,2024-10-17,10/20/24,1164,46,REP,Trump
458,Suffolk,2.9,Live Phone,,2024-10-14,10/18/24,1000,45.3,DEM,Harris
458,Suffolk,2.9,Live Phone,,2024-10-14,10/18/24,1000,44.4,REP,Trump
458,Suffolk,2.9,Live Phone,,2024-10-14,10/18/24,1000,49.7,DEM,Harris
458,Suffolk,2.9,Live Phone,,2024-10-14,10/18/24,1000,48.7,REP,Trump
509,U. North Florida,2.8,Live Phone,Florida,2024-10-07,10/18/24,977,43,DEM,Harris
509,U. North Florida,2.8,Live Phone,Florida,2024-10-07,10/18/24,977,53,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-10-14,10/16/24,1000,49.5,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-10-14,10/16/24,1000,49.2,REP,Trump
568,YouGov,3,Online Panel,Arizona,2024-10-11,10/16/24,1435,48,DEM,Harris
568,YouGov,3,Online Panel,Arizona,2024-10-11,10/16/24,1435,51,REP,Trump
568,YouGov,3,Online Panel,,2024-10-12,10/15/24,1457,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-12,10/15/24,1457,45,REP,Trump
568,YouGov,3,Online Panel,,2024-10-12,10/15/24,1314,49,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-12,10/15/24,1314,45,REP,Trump
1102,Emerson,2.9,IVR/Online Panel,California,2024-10-12,10/14/24,1000,61,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel,California,2024-10-12,10/14/24,1000,36.6,REP,Trump
1597,Beacon/Shaw,2.8,Live Phone/Text-to-Web,,2024-10-11,10/14/24,1110,48,DEM,Harris
1597,Beacon/Shaw,2.8,Live Phone/Text-to-Web,,2024-10-11,10/14/24,1110,50,REP,Trump
1597,Beacon/Shaw,2.8,Live Phone/Text-to-Web,,2024-10-11,10/14/24,870,48,DEM,Harris
1597,Beacon/Shaw,2.8,Live Phone/Text-to-Web,,2024-10-11,10/14/24,870,50,REP,Trump
396,Quinnipiac,2.8,Live Phone,Georgia,2024-10-10,10/14/24,1328,45,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Georgia,2024-10-10,10/14/24,1328,52,REP,Trump
396,Quinnipiac,2.8,Live Phone,Georgia,2024-10-10,10/14/24,1328,46,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Georgia,2024-10-10,10/14/24,1328,52,REP,Trump
396,Quinnipiac,2.8,Live Phone,North Carolina,2024-10-10,10/14/24,1031,49,DEM,Harris
396,Quinnipiac,2.8,Live Phone,North Carolina,2024-10-10,10/14/24,1031,47,REP,Trump
396,Quinnipiac,2.8,Live Phone,North Carolina,2024-10-10,10/14/24,1031,50,DEM,Harris
396,Quinnipiac,2.8,Live Phone,North Carolina,2024-10-10,10/14/24,1031,47,REP,Trump
460,SurveyUSA,2.8,Online Panel,Washington,2024-10-09,10/14/24,703,57,DEM,Harris
460,SurveyUSA,2.8,Online Panel,Washington,2024-10-09,10/14/24,703,35,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,807,45,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,807,42,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,769,47,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,769,44,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,938,41,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-11,10/13/24,938,37,REP,Trump
568,YouGov,3,Online Panel,,2024-10-08,10/11/24,2712,51,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-08,10/11/24,2712,48,REP,Trump
1205,Marist,2.9,Online Panel/Text-to-Web,,2024-10-08,10/10/24,1401,52,DEM,Harris
1205,Marist,2.9,Online Panel/Text-to-Web,,2024-10-08,10/10/24,1401,47,REP,Trump
1205,Marist,2.9,Online Panel/Text-to-Web,,2024-10-08,10/10/24,1708,51,DEM,Harris
1205,Marist,2.9,Online Panel/Text-to-Web,,2024-10-08,10/10/24,1708,48,REP,Trump
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,50,DEM,Harris
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,47,REP,Trump
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,49,DEM,Harris
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,45,REP,Trump
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,50,DEM,Harris
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,47,REP,Trump
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,49,DEM,Harris
1424,Siena/NYT,3,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,45,REP,Trump
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,46,DEM,Harris
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,51,REP,Trump
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,45,DEM,Harris
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,50,REP,Trump
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,45,DEM,Harris
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,51,REP,Trump
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,44,DEM,Harris
1424,Siena/NYT,3,Live Phone,Arizona,2024-10-07,10/10/24,808,49,REP,Trump
1847,University of Massachusetts Lowell/YouGov,2.9,Online Panel,New Hampshire,2024-10-02,10/10/24,600,50,DEM,Harris
1847,University of Massachusetts Lowell/YouGov,2.9,Online Panel,New Hampshire,2024-10-02,10/10/24,600,41,REP,Trump
568,YouGov,3,Online Panel,Texas,2024-10-02,10/10/24,1091,46,DEM,Harris
568,YouGov,3,Online Panel,Texas,2024-10-02,10/10/24,1091,51,REP,Trump
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,780,50,DEM,Harris
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,780,50,REP,Trump
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,780,43,DEM,Harris
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,780,39,REP,Trump
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,652,50,DEM,Harris
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,652,50,REP,Trump
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,652,44,DEM,Harris
1075,Marquette Law School,3,Probability Panel,,2024-10-01,10/10/24,652,41,REP,Trump
1847,University of Massachusetts Lowell/YouGov,2.9,Online Panel,Pennsylvania,2024-10-02,10/9/24,800,46,DEM,Harris
1847,University of Massachusetts Lowell/YouGov,2.9,Online Panel,Pennsylvania,2024-10-02,10/9/24,800,45,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Arizona,2024-10-05,10/8/24,1000,48.2,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Arizona,2024-10-05,10/8/24,1000,50.5,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Georgia,2024-10-05,10/8/24,1000,49.8,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Georgia,2024-10-05,10/8/24,1000,49.7,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Michigan,2024-10-05,10/8/24,950,49.7,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Michigan,2024-10-05,10/8/24,950,49.6,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Nevada,2024-10-05,10/8/24,900,49.2,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Nevada,2024-10-05,10/8/24,900,48.1,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,North Carolina,2024-10-05,10/8/24,1000,49,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,North Carolina,2024-10-05,10/8/24,1000,49.9,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Pennsylvania,2024-10-05,10/8/24,1000,49,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Pennsylvania,2024-10-05,10/8/24,1000,49.7,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Wisconsin,2024-10-05,10/8/24,1000,49.2,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,Wisconsin,2024-10-05,10/8/24,1000,49.9,REP,Trump
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,39,DEM,Harris
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,57,REP,Trump
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,38,DEM,Harris
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,56,REP,Trump
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,40,DEM,Harris
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,57,REP,Trump
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,39,DEM,Harris
1424,Siena/NYT,3,Live Phone,Montana,2024-10-05,10/8/24,656,56,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2631,49,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2631,48,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2226,49,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2226,47,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,1714,50,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,1714,48,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2631,50,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2631,49,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2226,50,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,2226,49,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,1714,51,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/8/24,1714,48,REP,Trump
568,YouGov,3,Online Panel,,2024-10-06,10/7/24,1414,47,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-06,10/7/24,1414,44,REP,Trump
568,YouGov,3,Online Panel,,2024-10-06,10/7/24,1230,49,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-06,10/7/24,1230,45,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1272,42,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1272,38,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,46,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,43,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,47,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,45,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1272,48,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1272,47,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,50,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,48,REP,Trump
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,51,DEM,Harris
241,Ipsos,2.8,Probability Panel,,2024-10-04,10/7/24,1076,49,REP,Trump
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-03,10/7/24,1007,47,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-03,10/7/24,1007,50,REP,Trump
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-03,10/7/24,1007,47,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Michigan,2024-10-03,10/7/24,1007,51,REP,Trump
396,Quinnipiac,2.8,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,49,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,46,REP,Trump
396,Quinnipiac,2.8,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,49,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,47,REP,Trump
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,46,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,48,REP,Trump
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,47,DEM,Harris
396,Quinnipiac,2.8,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,49,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1257,47,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1257,51,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1410,47,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1410,51,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1365,46,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1365,52,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1186,46,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1186,53,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1511,46,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1511,52,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1327,46,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1327,52,REP,Trump
486,The Washington Post,3,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,45,DEM,Harris
486,The Washington Post,3,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,51,REP,Trump
486,The Washington Post,3,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,44,DEM,Harris
486,The Washington Post,3,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,51,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-09-29,10/6/24,3385,49,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-09-29,10/6/24,3385,46,REP,Trump
1424,Siena/NYT,3,Live Phone,,2024-09-29,10/6/24,3385,47,DEM,Harris
1424,Siena/NYT,3,Live Phone,,2024-09-29,10/6/24,3385,44,REP,Trump
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,41,DEM,Harris
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,55,REP,Trump
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,40,DEM,Harris
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,53,REP,Trump
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,41,DEM,Harris
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,54,REP,Trump
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,40,DEM,Harris
1424,Siena/NYT,3,Live Phone,Florida,2024-09-29,10/6/24,622,53,REP,Trump
458,Suffolk,2.9,Live Phone,Massachusetts,2024-10-01,10/5/24,500,61.2,DEM,Harris
458,Suffolk,2.9,Live Phone,Massachusetts,2024-10-01,10/5/24,500,32.2,REP,Trump
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1150,46,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1150,45,REP,Trump
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1032,47,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1032,47,REP,Trump
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1151,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1151,46,REP,Trump
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1033,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-10-02,10/4/24,1033,47,REP,Trump
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,44,DEM,Harris
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,50,REP,Trump
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,42,DEM,Harris
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,49,REP,Trump
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,44,DEM,Harris
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,50,REP,Trump
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,41,DEM,Harris
1424,Siena/NYT,3,Live Phone,Texas,2024-09-29,10/4/24,617,48,REP,Trump
94,Christopher Newport U.,2.8,Live Phone,Virginia,2024-09-28,10/4/24,800,52,DEM,Harris
94,Christopher Newport U.,2.8,Live Phone,Virginia,2024-09-28,10/4/24,800,41,REP,Trump
1901,YouGov/Center for Working Class Politics,3,Online Panel,Pennsylvania,2024-09-24,10/2/24,1000,46.8,DEM,Harris
1901,YouGov/Center for Working Class Politics,3,Online Panel,Pennsylvania,2024-09-24,10/2/24,1000,44.7,REP,Trump
568,YouGov,3,Online Panel,,2024-09-29,10/1/24,1463,48,DEM,Harris
568,YouGov,3,Online Panel,,2024-09-29,10/1/24,1463,45,REP,Trump
568,YouGov,3,Online Panel,,2024-09-29,10/1/24,1261,49,DEM,Harris
568,YouGov,3,Online Panel,,2024-09-29,10/1/24,1261,46,REP,Trump
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-09-29,10/1/24,1000,50.2,DEM,Harris
1102,Emerson,2.9,IVR/Online Panel/Text-to-Web,,2024-09-29,10/1/24,1000,48.6,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,,2024-09-27,10/1/24,1294,50,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,,2024-09-27,10/1/24,1294,48,REP,Trump
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,,2024-09-27,10/1/24,1514,50,DEM,Harris
1205,Marist,2.9,Live Phone/Online Panel/Text-to-Web,,2024-09-27,10/1/24,1514,47,REP,Trump
486,The Washington Post,3,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,48,DEM,Harris
486,The Washington Post,3,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,50,REP,Trump
486,The Washington Post,3,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,47,DEM,Harris
486,The Washington Post,3,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,50,REP,Trump
